totusjh,totpot,totusjz,absnjzh,savncpp,usflux,meanpot,r_value,meanshr,meangam,meangbt,meangbz,meangbh,meanjzh,meanjzd,meanalp,date
177.6306638619832,2.7061717778347963e+22,4121300213277.215,21.65840999401548,3364727504888.9653,1.5597257187291586e+21,4880.747751444516,0.0,32.31134219306384,35.444235809478286,122.45203204980126,13.672389303617907,57.39685328128136,0.005187643112339037,1.5434264440305034,0.01694534208646435,2013-10-17T23:58:15.700
199.69998499254027,3.4496270887583176e+22,4384539994160.845,21.1448948222395,3809635373643.7305,1.637953099300707e+21,5838.444485782365,0.0,32.94126214316418,36.12747157203108,119.85927940178793,15.188109299498166,58.10495547725826,0.004752729786972241,1.639849119591136,0.014322733182584532,2013-10-18T00:10:15.700
136.22462817390087,2.5006475659198547e+22,3360102247805.6704,13.08965614038368,3984151259535.083,1.2745762754636142e+21,6048.68413669196,0.0,35.10305814761658,37.75376491711352,124.55963467639054,11.304172898091085,63.350546136192065,0.004204836537225724,2.450925844599334,0.013349913460358988,2013-10-18T00:22:15.700
60.460744047528564,1.3595209718136771e+22,1427773771447.275,20.269370416214635,1081752885439.6139,8.43953115725964e+20,7434.287705460436,0.0,40.391071149180675,43.77333637569235,126.35057088258384,5.254717570800881,68.84056133713578,0.014719949467113025,1.240549398350795,0.04368462922904341,2013-10-18T00:34:15.700
114.23185176299519,1.9494639558780273e+22,2621385574882.0815,13.88686076761996,3086608923983.259,1.0345000294760597e+21,5767.861991630641,0.0,34.507508507386596,37.38906218291826,129.08474890460067,9.113697342491788,61.29598465194551,0.005456526824212164,2.3224603315551557,0.016825712055478722,2013-10-18T00:46:15.700
49.74837527269466,1.2011899034305668e+22,1152437630854.231,12.937281076214818,1281506760626.224,9.580292961393822e+20,6660.385675831662,0.0,38.07597997466547,42.76600340424453,118.93817214830847,4.219576474176591,59.56056589863644,0.009526716550968203,1.8070341842802489,0.03076344660994584,2013-10-18T00:58:15.700
122.00403208656031,2.2471544479715235e+22,2893523358365.8247,2.5839889838883976,4244737170801.4434,1.2175834467506108e+21,6040.978485293794,0.0,34.88115375974313,38.72634154655716,128.16040489781992,9.502786183476049,64.12776956724828,-0.000922523735768796,2.9018422177574004,-0.0028426231042394307,2013-10-18T01:10:15.700
240.09876757345995,3.6360323936210255e+22,3897295270121.8506,17.585429926772534,2470213784048.578,1.391785966152802e+21,8653.239637535607,0.0,34.19659782530801,39.48945004668713,137.92461311416065,12.164418972303805,75.85209514743369,0.005557974060294732,1.4949449237298846,0.01140118126078051,2013-10-18T01:22:15.700
249.06207692652825,3.6345198719312893e+22,3872391037731.851,4.985289809416927,3391500814202.727,1.341372216438945e+21,8346.282718315551,0.0,32.605020511307956,37.254720171836986,135.6772106127919,12.179740403403697,72.19319455203878,-0.0015203689568212648,1.980472806521475,-0.003217374306968189,2013-10-18T01:34:15.700
271.4509320076178,4.018592460300151e+22,4215694795929.6743,19.701482899119352,2524569648686.4824,1.7103131218230814e+21,8528.60204686529,0.0,34.63267261750772,38.60795055572625,136.8313311763307,13.344914436152543,72.81830033861151,-0.005552841854317743,1.3624282587489382,-0.011351752185334768,2013-10-18T01:46:15.700
