totusjh,totpot,totusjz,absnjzh,savncpp,usflux,meanpot,r_value,meanshr,meangam,meangbt,meangbz,meangbh,meanjzh,meanjzd,meanalp,date
1500.876708984375,2.370223587182821e+23,25330479792128.0,307.4468688964844,11595833933824.0,2.918426908948275e+22,4593.58984375,4.07434606552124,25.972360610961914,32.4938850402832,70.66390228271484,81.00725555419922,38.42454147338867,0.007913283072412014,0.013657518662512302,0.01785389333963394,2013-10-17T23:58:15.700
1487.2034912109375,2.3923582389193917e+23,24845916045312.0,305.23944091796875,11774102339584.0,2.915045606348045e+22,4662.76953125,4.044801235198975,26.063514709472656,32.43037414550781,70.55908966064453,80.6010513305664,38.711612701416016,0.00790120754390955,0.023436976596713066,0.017757579684257507,2013-10-18T00:10:15.700
1509.6435546875,2.4436504556514547e+23,25459943276544.0,302.80712890625,10455622877184.0,2.9461596250936596e+22,4675.3662109375,4.019845485687256,26.149045944213867,32.62556838989258,70.31810760498047,80.95146179199219,38.681846618652344,0.007694052532315254,0.039762359112501144,0.01750344969332218,2013-10-18T00:22:15.700
1506.893798828125,2.401966398508409e+23,25045214691328.0,209.4393310546875,6442851500032.0,2.9505790074079983e+22,4574.3427734375,4.050738334655762,25.989683151245117,32.587825775146484,69.8758773803711,80.66725158691406,38.19892501831055,0.005297031253576279,0.05595468357205391,0.012056170031428337,2013-10-18T00:34:15.700
1545.7061767578125,2.45784273922918e+23,25453016383488.0,193.89144897460938,6267245953024.0,2.96286235021167e+22,4687.39306640625,4.045635223388672,25.74333953857422,32.54639434814453,70.73339080810547,80.8660659790039,38.5374755859375,0.004910757765173912,0.03813079744577408,0.01110032293945551,2013-10-18T00:46:15.700
1518.1448974609375,2.461458409154018e+23,25163405983744.0,278.6044921875,10043140341760.0,2.9351440455850927e+22,4793.60107421875,4.079835891723633,25.535938262939453,32.224971771240234,70.95011138916016,80.91899871826172,38.76170349121094,0.007206158246845007,0.06381437927484512,0.0160504262894392,2013-10-18T00:58:15.700
1522.6658935546875,2.439144694296263e+23,25413090803712.0,168.80665588378906,5795333275648.0,2.9742303363910785e+22,4649.966796875,4.003687381744385,25.845415115356445,32.267234802246094,71.50652313232422,80.57516479492188,38.175472259521484,0.004273911006748676,0.05638192966580391,0.009612800553441048,2013-10-18T01:10:15.700
1540.46923828125,2.43151109292787e+23,25380436049920.0,183.24642944335938,5194552180736.0,2.955264777640296e+22,4713.45947265625,4.015089511871338,25.52031707763672,32.09980392456055,71.50184631347656,81.4892578125,38.67707443237305,0.004717739298939705,0.006012864410877228,0.010459535755217075,2013-10-18T01:22:15.700
1568.759765625,2.4488894030259823e+23,25637299421184.0,144.26443481445312,3039515377664.0,2.958030888531427e+22,4778.51611328125,4.0198750495910645,25.605945587158203,32.07758712768555,71.60903930664062,82.18287658691406,39.18526077270508,0.003738582832738757,0.02320202626287937,0.008211320266127586,2013-10-18T01:34:15.700
1567.168701171875,2.44233072081665e+23,25624978653184.0,122.59886169433594,2692323213312.0,2.9207295994377494e+22,4854.27880859375,4.043996334075928,25.727821350097656,32.093170166015625,72.68599700927734,83.51168060302734,39.43277359008789,0.0032361645717173815,-0.03314321115612984,0.0070211212150752544,2013-10-18T01:46:15.700
1566.576171875,2.4463362223252334e+23,25393331437568.0,115.00059509277344,2908353462272.0,2.9065500160109733e+22,4882.08447265625,4.022584915161133,25.784700393676758,31.97479248046875,73.1202392578125,84.5552749633789,39.83358383178711,0.003047988284379244,-0.02716771513223648,0.006604222115129232,2013-10-18T01:58:15.700
1552.8658447265625,2.451685237674654e+23,25698850832384.0,111.288818359375,3421584228352.0,2.886936389273812e+22,4965.80322265625,4.027202129364014,25.572294235229492,32.140384674072266,74.63050842285156,85.474609375,40.60655212402344,0.002993646776303649,0.027538591995835304,0.006427406799048185,2013-10-18T02:10:15.700
1561.82958984375,2.4293576517300466e+23,25801783246848.0,153.1300048828125,4574845861888.0,2.882404191788808e+22,4912.9150390625,4.046079158782959,25.62242317199707,32.21265411376953,74.93522644042969,85.2906265258789,40.91949462890625,0.0041127498261630535,0.05466947332024574,0.00886276364326477,2013-10-18T02:22:15.700
1541.6490478515625,2.552068131496936e+23,26006335258624.0,104.64432525634766,1148171845632.0,2.8529535775655625e+22,5184.60595703125,4.045580863952637,25.90159797668457,32.68601989746094,75.24219512939453,86.36158752441406,41.16518783569336,0.002823341405019164,-0.05389411002397537,0.0061655305325984955,2013-10-18T02:34:15.700
1534.3021240234375,2.439456343390477e+23,25314937798656.0,106.83260345458984,1677388808192.0,2.823393976231335e+22,5050.94921875,4.033148765563965,25.833251953125,32.38648986816406,75.40721130371094,85.8506088256836,40.67384338378906,0.002937786281108856,-0.016236089169979095,0.0063110957853496075,2013-10-18T02:46:15.700
1548.324951171875,2.5613713073191878e+23,26518050832384.0,18.306785583496094,1854311890944.0,2.8163539492938294e+22,5298.568359375,3.992820978164673,26.167015075683594,32.54499435424805,76.33186340332031,88.88182067871094,41.75955581665039,0.0005029474850744009,0.04179144650697708,0.0010858498280867934,2013-10-18T02:58:15.700
1559.98583984375,2.4387766601347144e+23,26151521091584.0,96.42858123779297,730998177792.0,2.833974733195879e+22,4996.91650390625,3.9473118782043457,26.063108444213867,32.29013442993164,74.75601196289062,86.62025451660156,40.771812438964844,0.0026239068247377872,0.01919405162334442,0.005685538984835148,2013-10-18T03:10:15.700
